timme,kurs
16.0,1367.5
17.0,1369.75
10.0,1355.5
11.0,1357.75
12.0,1361.0
13.0,1358.0
14.0,1357.25
15.0,1356.25
16.0,1359.5
17.0,1357.25
10.0,1357.5
11.0,1362.5
12.0,1361.5
13.0,1363.25
14.0,1365.5
15.0,1370.75
16.0,1373.25
17.0,1368.75
10.0,1372.0
11.0,1367.5
12.0,1363.75
13.0,1362.75
14.0,1362.75
15.0,1362.75
16.0,1366.25
17.0,1363.0
10.0,1385.25
11.0,1390.5
12.0,1391.25
13.0,1393.25
14.0,1400.75
15.0,1399.0
16.0,1397.75
17.0,1397.75
10.0,1404.0
11.0,1409.0
12.0,1407.5
13.0,1407.5
14.0,1406.75
15.0,1411.0
16.0,1414.25
17.0,1410.5
10.0,1409.5
11.0,1408.0
12.0,1408.25
13.0,1410.5
14.0,1412.25
15.0,1412.0
16.0,1413.75
17.0,1412.5
10.0,1398.25
11.0,1403.0
12.0,1405.0
13.0,1403.5
14.0,1403.25
15.0,1401.25
16.0,1397.25
17.0,1399.25
10.0,1415.25
11.0,1419.0
12.0,1417.75
13.0,1419.0
14.0,1417.75
15.0,1417.0
16.0,1419.0
17.0,1421.25
10.0,1417.25
11.0,1422.5
12.0,1429.5
13.0,1430.5
14.0,1423.0
15.0,1425.5
16.0,1430.5
17.0,1431.75
10.0,1434.5
11.0,1433.25
12.0,1433.75
13.0,1434.25
14.0,1428.0
15.0,1426.25
16.0,1425.0
17.0,1430.25
10.0,1447.25
11.0,1439.5
12.0,1441.25
13.0,1442.25
14.0,1442.75
15.0,1443.75
16.0,1445.75
17.0,1446.75
10.0,1441.75
11.0,1442.0
12.0,1448.0
13.0,1449.75
14.0,1449.5
15.0,1451.5
16.0,1450.75
17.0,1454.25
10.0,1450.5
11.0,1451.5
12.0,1452.25
13.0,1451.0
14.0,1450.25
15.0,1448.25
16.0,1450.25
17.0,1449.5
10.0,1451.0
11.0,1452.75
12.0,1454.75
13.0,1457.0
14.0,1454.5
15.0,1455.5
16.0,1456.75
17.0,1454.75
10.0,1454.25
11.0,1454.5
12.0,1455.0
13.0,1456.25
14.0,1456.5
15.0,1455.0
16.0,1458.75
17.0,1466.5
10.0,1471.75
11.0,1471.5
12.0,1469.25
13.0,1460.25
14.0,1456.5
15.0,1455.25
16.0,1454.5
17.0,1453.5
10.0,1460.0
11.0,1455.75
12.0,1456.75
13.0,1454.25
14.0,1454.75
15.0,1451.5
16.0,1441.25
17.0,1439.25
10.0,1424.0
11.0,1426.0
12.0,1418.5
13.0,1422.0
14.0,1423.5
15.0,1423.75
16.0,1423.75
17.0,1438.0
10.0,1446.25
11.0,1443.0
12.0,1446.5
13.0,1446.25
14.0,1447.0
15.0,1447.5
16.0,1447.0
17.0,1448.0
10.0,1443.25
11.0,1446.0
12.0,1444.25
13.0,1442.5
14.0,1444.25
15.0,1445.0
16.0,1436.0
17.0,1440.5
10.0,1417.0
11.0,1418.75
12.0,1425.0
13.0,1427.25
14.0,1436.75
15.0,1436.75
16.0,1422.0
17.0,1431.5
10.0,1432.0
11.0,1429.25
12.0,1426.0
13.0,1418.5
14.0,1419.0
15.0,1417.25
16.0,1417.5
17.0,1415.75
10.0,1423.5
11.0,1425.75
12.0,1427.25
13.0,1425.0
14.0,1426.75
15.0,1423.25
16.0,1420.75
17.0,1433.5
10.0,1434.0
11.0,1431.0
12.0,1430.25
13.0,1430.5
14.0,1431.5
15.0,1435.5
16.0,1435.5
17.0,1435.0
10.0,1440.5
11.0,1441.25
12.0,1440.0
13.0,1436.0
14.0,1435.5
15.0,1438.0
16.0,1435.0
17.0,1440.5
10.0,1451.25
11.0,1452.5
12.0,1450.75
13.0,1449.75
14.0,1452.25
15.0,1456.5
16.0,1457.75
17.0,1462.75
10.0,1454.5
11.0,1451.25
12.0,1445.25
13.0,1442.25
14.0,1443.5
15.0,1444.5
16.0,1445.75
17.0,1448.25
10.0,1458.5
11.0,1457.75
12.0,1447.75
13.0,1454.5
14.0,1464.25
15.0,1475.25
16.0,1482.5
17.0,1477.5
10.0,1488.25
11.0,1487.75
12.0,1486.5
13.0,1484.25
14.0,1482.75
15.0,1480.0
16.0,1477.0
17.0,1477.5
10.0,1481.5
11.0,1484.25
12.0,1484.75
13.0,1485.25
14.0,1487.25
15.0,1486.5
16.0,1490.75
17.0,1490.75
10.0,1482.75
11.0,1480.25
12.0,1479.5
13.0,1481.25
14.0,1478.5
15.0,1478.0
16.0,1480.25
17.0,1478.5
10.0,1482.0
11.0,1483.5
12.0,1483.25
13.0,1482.25
14.0,1478.75
15.0,1474.0
16.0,1479.5
17.0,1483.25
10.0,1483.25
11.0,1484.25
12.0,1486.25
13.0,1483.75
14.0,1481.5
15.0,1482.5
16.0,1481.75
17.0,1473.25
10.0,1460.0
11.0,1450.5
12.0,1451.0
13.0,1450.75
14.0,1456.25
15.0,1455.75
16.0,1460.75
17.0,1463.75
10.0,1474.5
11.0,1470.75
12.0,1473.0
13.0,1474.5
14.0,1469.0
15.0,1470.25
16.0,1468.75
17.0,1465.75
10.0,1481.0
11.0,1478.75
12.0,1476.0
13.0,1476.5
14.0,1477.5
15.0,1478.0
16.0,1479.5
17.0,1481.5
10.0,1484.5
11.0,1483.5
12.0,1478.5
13.0,1473.0
14.0,1470.5
15.0,1466.75
16.0,1469.75
17.0,1464.25
10.0,1461.5
11.0,1465.25
12.0,1472.0
13.0,1471.0
14.0,1465.0
15.0,1465.75
16.0,1462.5
17.0,1463.5
10.0,1489.25
11.0,1487.5
12.0,1489.25
13.0,1491.25
14.0,1493.0
15.0,1495.0
16.0,1495.25
17.0,1495.75
10.0,1493.0
11.0,1494.75
12.0,1494.5
13.0,1495.25
14.0,1497.25
15.0,1493.0
16.0,1490.75
17.0,1485.0
10.0,1493.0
11.0,1492.5
12.0,1492.25
13.0,1490.0
14.0,1491.75
15.0,1491.25
16.0,1492.25
17.0,1493.5
10.0,1498.75
11.0,1496.25
12.0,1497.0
13.0,1497.25
14.0,1498.75
15.0,1500.0
16.0,1497.0
17.0,1499.5
10.0,1503.0
11.0,1501.25
12.0,1498.5
13.0,1498.5
14.0,1495.5
15.0,1493.75
16.0,1500.5
17.0,1501.25
10.0,1505.0
11.0,1502.0
12.0,1500.5
13.0,1503.0
14.0,1504.75
15.0,1504.75
16.0,1500.75
17.0,1500.25
10.0,1513.25
11.0,1512.0
12.0,1510.75
13.0,1509.0
14.0,1507.0
15.0,1504.25
16.0,1504.5
17.0,1501.5
10.0,1494.75
11.0,1491.0
12.0,1484.75
13.0,1471.5
14.0,1474.25
15.0,1470.0
16.0,1470.75
17.0,1467.75
10.0,1473.0
11.0,1479.25
12.0,1481.75
13.0,1485.5
14.0,1484.0
15.0,1482.0
16.0,1482.25
17.0,1483.25
10.0,1500.25
11.0,1499.25
12.0,1490.5
13.0,1490.25
14.0,1495.25
15.0,1496.5
16.0,1499.25
17.0,1500.75
10.0,1509.25
11.0,1500.0
12.0,1499.25
13.0,1497.0
14.0,1505.5
15.0,1505.75
16.0,1507.0
17.0,1512.75
10.0,1503.25
11.0,1505.25
12.0,1502.5
13.0,1497.5
14.0,1496.25
15.0,1492.0
16.0,1499.5
17.0,1496.0
10.0,1500.25
11.0,1506.75
12.0,1503.0
13.0,1503.0
14.0,1500.75
15.0,1504.0
16.0,1503.25
17.0,1507.0
10.0,1508.75
11.0,1510.25
12.0,1510.25
13.0,1518.25
14.0,1520.75
15.0,1521.5
16.0,1523.75
17.0,1523.5
10.0,1511.5
11.0,1516.0
12.0,1503.25
13.0,1493.5
14.0,1494.25
15.0,1495.25
16.0,1490.0
17.0,1496.75
10.0,1481.5
11.0,1479.0
12.0,1467.75
13.0,1467.75
14.0,1462.25
15.0,1455.0
16.0,1454.0
17.0,1449.0
10.0,1447.5
11.0,1452.5
12.0,1454.5
