1422.5,1424.5,1413,-0.33,0.14,-0.81,SELL
1413,1395.25,1410.5,0,-1.26,1.08,BUY
1402,1420.25,1430,-0.61,1.3,0.7,BUY
1428.5,1435.5,1426.5,-0.11,0.49,-0.63,SELL
1426.5,1431.5,1419.5,0,0.35,-0.84,SELL
1403,1393.75,1388.5,-1.18,-0.66,-0.37,SELL
1381.5,1381.75,1406.5,-0.51,0.02,1.79,BUY
1400,1396.75,1390,-0.46,-0.23,-0.48,SELL
1384.5,1369.75,1385.5,-0.4,-1.07,1.14,BUY
1417.75,1412,1429,2.27,-0.41,1.2,BUY
1434,1443.75,1441.75,0.35,0.68,-0.14,SELL
1446,1429.5,1432.5,0.29,-1.14,0.21,BUY
1421.75,1427.5,1423.25,-0.76,0.4,-0.3,SELL
1413.5,1413.25,1429.75,-0.69,-0.02,1.17,BUY
1371.5,1392.5,1382,-4.25,1.53,-0.77,SELL
1377.5,1374.5,1364.5,-0.33,-0.22,-0.73,SELL
1369.25,1390.75,1398.75,0.35,1.57,0.58,BUY
1388.75,1385.75,1380.75,-0.72,-0.22,-0.36,SELL
1383.75,1381.5,1376.25,0.22,-0.16,-0.38,SELL
1350.5,1359,1350.75,-1.91,0.63,-0.61,SELL
1359,1357.25,1337.75,0.61,-0.13,-1.43,SELL
1344.25,1338.75,1343.75,0.48,-0.41,0.37,BUY
1350,1363.25,1373,0.46,0.98,0.72,BUY
1403.25,1402,1409.5,2.16,-0.09,0.53,BUY
1426.75,1437.25,1435.5,1.21,0.74,-0.12,SELL
1436.25,1430.5,1438.25,0.05,-0.4,0.54,BUY
1433.5,1429.75,1424.5,-0.33,-0.26,-0.37,SELL
1435.75,1458.25,1459,0.78,1.57,0.05,BUY
1467,1457.25,1458.5,0.55,-0.66,0.09,BUY
1466.25,1477.75,1477,0.53,0.78,-0.05,SELL
1482,1474.75,1458,0.34,-0.49,-1.13,SELL
1451.25,1451.75,1445.25,-0.47,0.03,-0.45,SELL
1457.75,1446.5,1445,0.86,-0.77,-0.1,SELL
1442.5,1446.75,1435,-0.17,0.29,-0.81,SELL
1430.25,1419,1404.5,-0.33,-0.79,-1.01,SELL
1415,1416.25,1411,0.74,0.09,-0.37,SELL
1421.25,1412.5,1421.75,0.72,-0.62,0.65,BUY
1431,1430.5,1425,0.65,-0.03,-0.38,SELL
1429.75,1425.75,1438,0.33,-0.28,0.86,BUY
1438.5,1439.25,1440,0.03,0.05,0.05,BUY
1437,1436.75,1435.75,-0.21,-0.02,-0.07,SELL
1439.25,1446.25,1449,0.24,0.49,0.19,BUY
1447,1446,1444.25,-0.14,-0.07,-0.12,SELL
1440.75,1444.25,1434,-0.24,0.24,-0.71,SELL
1445.25,1440.5,1462,0.78,-0.33,1.49,BUY
1454.75,1445.25,1441.5,-0.5,-0.65,-0.26,SELL
1425.75,1410.25,1395.5,-1.1,-1.09,-1.03,SELL
